,Category,Description,Data.Cholesterol,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin C,Data.Fiber,Data.Major Minerals.Calcium,Data.Protein,Data.Fat.Monosaturated Fat,Data.Major Minerals.Sodium,Data.Major Minerals.Iron,Data.Sugar Total
506,Cheese,"Cheese, Gruyere",110,271,0.0,0.0,1011,29.81,10.043,714,0.17,0.36
507,Cheese,"Cheese, Limburger",90,340,0.0,0.0,497,20.05,8.606,800,0.13,0.49
508,Cheese,"Cheese, Monterey",89,198,0.0,0.0,746,24.48,8.751,600,0.72,0.5
509,Cheese,"Cheese, Monterey, reduced fat",65,142,0.0,0.0,705,28.2,5.64,781,0.72,0.56
510,Cheese,"Cheese, Mozzarella, NFS",65,203,0.0,0.0,693,23.7,4.65,699,0.2,1.81
511,Cheese,"Cheese, Mozzarella, part skim",65,203,0.0,0.0,693,23.7,4.65,699,0.2,1.81
512,Cheese,"Cheese, Mozzarella, reduced sodium",54,137,0.0,0.0,731,27.5,4.844,16,0.25,1.23
513,Cheese,"Cheese, Mozzarella, nonfat or fat free",18,127,0.0,1.8,961,31.7,0.0,743,0.31,1.48
514,Cheese,"Cheese, Muenster",96,298,0.0,0.0,717,23.41,8.711,628,0.41,1.12
515,Cheese,"Cheese, Muenster, reduced fat",63,175,0.0,0.0,529,24.7,5.09,600,0.41,3.5
516,Cheese,"Cheese, Parmesan, dry grated",87,228,0.0,0.0,884,29.6,6.4,1750,0.45,0.07
517,Cheese,"Cheese, Parmesan, dry grated, reduced fat",54,134,0.0,0.0,842,34.8,3.923,1450,2.72,0.78
518,Cheese,"Cheese, Parmesan, hard",87,228,0.0,0.0,884,29.6,6.4,1750,0.45,0.07
519,Cheese,"Cheese, Parmesan, dry grated, fat free",20,40,0.0,0.0,800,40.0,1.446,1150,5.0,1.5
520,Cheese,"Cheese, Port du Salut",114,165,0.0,0.0,700,24.94,7.747,819,0.24,2.22
521,Cheese,"Cheese, Provolone",69,236,0.0,0.0,756,25.58,7.393,727,0.52,0.56
522,Cheese,"Cheese, provolone, reduced fat",55,141,0.0,0.0,756,24.7,4.89,615,0.52,0.55
523,Cheese,"Cheese, Swiss",93,292,0.0,0.0,890,27.0,7.26,185,0.13,0.0
524,Cheese,"Cheese, Swiss, reduced sodium",92,216,0.0,0.0,961,28.4,7.256,14,0.17,1.31
525,Cheese,"Cheese, Swiss, reduced fat",35,40,0.0,0.0,961,28.4,1.351,199,0.17,1.33
526,Cheese,"Cheese, Swiss, nonfat or fat free",18,40,0.0,0.0,961,28.4,0.0,1000,0.17,1.33
527,Cheese,"Cheese, Cheddar, reduced sodium",100,264,0.0,0.0,703,24.35,9.189,21,0.72,0.49
528,Cheese,"Cheese, Mexican blend",95,174,0.0,0.0,659,23.54,7.871,607,0.59,1.23
529,Cheese,"Cheese, Mexican blend, reduced fat",62,155,0.0,0.0,1146,24.69,5.02,776,0.13,0.56
530,Queso Anejo,"Queso Anejo, aged Mexican cheese",105,64,0.0,0.0,680,21.44,8.528,1131,0.47,4.63
531,Queso Asadero,Queso Asadero,105,55,0.0,0.0,661,22.6,8.038,607,0.51,2.87
532,Queso Fresco,Queso Fresco,69,224,0.0,0.0,566,18.09,5.966,751,0.2,2.32
533,Queso cotija,Queso cotija,100,229,0.0,0.0,800,20.0,8.333,1400,0.0,0.0
534,Cheese,"Cheese, cottage, NFS",12,69,0.0,0.0,103,11.0,0.469,321,0.13,4.1
535,Cheese,"Cheese, cottage, creamed, large or small curd",17,37,0.0,0.0,83,11.12,0.778,315,0.07,2.67
536,Cottage cheese,"Cottage cheese, farmer's",31,83,0.0,0.0,78,10.49,2.394,297,0.07,2.52
537,Cheese,"Cheese, Ricotta",40,117,0.0,0.0,248,9.6,2.437,102,0.27,0.29
538,Cheese,"Cheese, cottage, with fruit",10,61,0.3,0.2,88,9.41,0.4,273,0.15,4.61
539,Cheese,"Cheese, cottage, with vegetables",10,91,0.5,0.7,91,9.78,0.4,278,0.23,3.95
540,Cheese,"Cheese, cottage, dry curd",7,2,0.0,0.0,86,10.34,0.079,372,0.15,1.85
541,Cheese,"Cheese, cottage, salted, dry curd",7,2,0.0,0.0,86,10.24,0.078,755,0.15,1.83
542,Puerto Rican white cheese,Puerto Rican white cheese,69,224,0.0,0.0,566,18.09,5.966,751,0.2,2.32
543,Cheese,"Cheese, cottage, low fat",12,69,0.0,0.0,103,11.0,0.469,321,0.13,4.1
544,Cheese,"Cheese, cottage, lowfat, with fruit",8,46,15.3,0.4,71,7.32,0.309,209,0.18,8.81
545,Cheese,"Cheese, cottage, lowfat, low sodium",4,11,0.0,0.0,61,12.4,0.284,13,0.14,2.7
546,Cheese,"Cheese, cottage, lowfat, lactose reduced",12,69,0.0,0.0,103,11.0,0.469,321,0.13,4.1
547,Cream cheese,"Cream cheese, regular, plain",101,308,0.0,0.0,97,6.15,8.907,314,0.11,3.76
548,Cream cheese,"Cream cheese, regular, flavored",49,146,0.0,0.0,134,7.11,3.62,465,0.16,14.31
549,Cream cheese,"Cream cheese, light",54,161,0.0,0.0,148,7.85,3.996,359,0.17,5.82
550,Cheese,"Cheese, American and Swiss blends",98,300,0.0,0.0,866,18.0,7.3,1660,0.48,2.63
551,Cheese,"Cheese, American",78,270,0.0,0.0,1375,16.09,5.655,1279,0.95,6.24
552,Cheese,"Cheese, American, reduced fat",53,250,0.0,0.0,529,17.6,4.13,1201,0.2,8.02
553,Cheese,"Cheese, American, nonfat or fat free",26,56,0.0,0.0,789,21.05,0.0,1316,0.0,5.26
554,Cheese,"Cheese, American, reduced sodium",94,254,0.0,0.0,616,22.2,8.932,7,0.39,0.45
555,Cheese spread,"Cheese spread, American or Cheddar cheese base, reduced fat",38,185,0.0,0.0,557,13.41,2.458,1102,0.36,7.06
556,Cream cheese spread,"Cream cheese spread, fat free",12,11,0.0,0.0,351,15.69,0.25,702,0.19,5.48
557,Cheese,"Cheese, processed cheese food",78,270,0.0,0.0,1375,16.09,5.655,1279,0.95,6.24
558,Cheese,"Cheese, processed, with vegetables",94,300,4.2,0.1,393,14.3,7.638,922,0.21,1.97
559,Cheese,"Cheese,  with wine",78,270,0.0,0.0,1375,16.09,5.655,1279,0.95,6.24
560,Cheese spread,"Cheese spread, American or Cheddar cheese base",55,173,0.0,0.0,562,16.41,6.219,1625,0.33,7.32
